Date,Close,High,Low,Open,Volume
2016-11-01,2460.281982421875,2492.1302928739383,2460.281982421875,2468.244060034891,77657500
2016-11-02,2464.262451171875,2472.224526943028,2440.376223858416,2460.2814132862986,101446000
2016-11-03,2456.301025390625,2468.2441422077595,2436.395830695401,2468.2441422077595,68455000
2016-11-04,2468.244140625,2468.244140625,2436.3958291330646,2444.3579070060487,62182500
2016-11-07,2452.319580078125,2472.2247714748632,2404.547120725954,2428.4333504020397,110497000
2016-11-08,2468.244140625,2484.1682963709677,2452.3199848790323,2452.3199848790323,106514500
2016-11-09,2436.395751953125,2480.187178867315,2428.433674332363,2468.244062436172,126875000
2016-11-10,2424.45263671875,2456.3009472175186,2424.45263671875,2436.3957531557885,69882500
2016-11-11,2336.869384765625,2388.6228805100086,2309.0021178263414,2388.6228805100086,222566500
2016-11-14,2289.096923828125,2293.0779619565214,2221.4192756453804,2293.0779619565214,156689000
2016-11-15,2316.964599609375,2368.718104411646,2245.305900652384,2277.1542112999355,135474500
2016-11-16,2344.831787109375,2376.6800966117094,2320.945554982624,2320.945554982624,129035500
2016-11-17,2348.812744140625,2364.736898338189,2340.8506670418433,2348.812744140625,120499000
2016-11-18,2344.831787109375,2348.8128257971666,2328.9076323582076,2340.850748421583,80701500
2016-11-21,2344.831787109375,2352.7938644849587,2328.9076323582076,2340.850748421583,87375000
2016-11-22,2332.888671875,2344.8317879426195,2309.002439739761,2309.002439739761,129317000
2016-11-23,2340.850830078125,2348.812907731452,2328.9077135981347,2332.888752424798,51143500
2016-11-24,2316.964599609375,2340.850832595039,2293.078366623711,2309.002521947487,83313000
2016-11-25,2312.983154296875,2316.964192428195,2301.0400399029154,2309.0021161655554,71262500
2016-11-28,2289.096923828125,2312.9831525985055,2281.134847571331,2301.0400382133153,75786000
2016-11-29,2285.115966796875,2297.059081605918,2249.2866223697465,2281.134928527194,101969000
2016-11-30,2277.154052734375,2293.0782069493007,2273.1730141806433,2285.116129841838,163078500
2016-12-01,2320.36083984375,2332.362706256735,2284.355240604795,2288.355862742457,107127500
2016-12-02,2348.36474609375,2420.375930812127,2332.362260600777,2344.364124720507,137411500
2016-12-05,2344.36474609375,2372.3691031289995,2320.3610114921075,2348.365368527357,64879000
2016-12-06,2348.36474609375,2360.3666102134794,2336.36288197402,2352.365367466993,59009500
2016-12-07,2344.36474609375,2356.3666133945712,2336.363501226536,2352.365990960964,69524500
2016-12-08,2352.365478515625,2380.3698294503347,2320.360506018814,2320.360506018814,121795500
2016-12-09,2352.365478515625,2368.3679647640306,2344.364235391422,2368.3679647640306,86596000
2016-12-13,2352.365478515625,2364.367343201929,2320.360506018814,2348.3648569535235,121360000
2016-12-14,2360.3671875,2400.373411016949,2352.36594279661,2352.36594279661,128356000
2016-12-15,2364.367919921875,2372.3691649977527,2352.3660523080584,2356.3666748459973,125417000
2016-12-16,2368.36767578125,2400.3726443728888,2344.3639493375213,2352.365191485431,105628500
2016-12-19,2356.366455078125,2372.368943737399,2320.360855594758,2320.360855594758,53658000
2016-12-20,2364.367919921875,2368.368542459814,2328.3623170804253,2328.3623170804253,37145000
2016-12-21,2348.36474609375,2368.367852959966,2340.3635033472638,2368.367852959966,97165000
2016-12-22,2328.362060546875,2332.3626826440345,2304.3583279639174,2320.360816352556,75773000
2016-12-23,2312.359619140625,2336.3633522112887,2284.355263891517,2304.358374783737,73656500
2016-12-27,2368.36767578125,2376.3689179291596,2260.35090678447,2288.3552543021538,41749000
2016-12-28,2356.366455078125,2404.373921055948,2356.366455078125,2384.370810231855,70098000
2016-12-29,2456.381591796875,2468.3834562519087,2356.366054671595,2368.3679191266287,122316500
2016-12-30,2480.385986328125,2488.3872314453124,2452.381628417969,2456.3822509765623,235500500
2017-01-02,2480.385986328125,2480.385986328125,2480.385986328125,2480.385986328125,0
2017-01-03,2524.392578125,2524.392578125,2436.378890773574,2480.385734449287,46748000
2017-01-04,2512.39013671875,2540.394485376443,2504.388894245123,2536.39386413963,85216500
2017-01-05,2508.390380859375,2524.3928713273776,2500.389135625374,2512.3910034763758,97909000
2017-01-06,2496.38818359375,2512.39067195012,2472.384451059195,2472.384451059195,36603000
2017-01-09,2456.381591796875,2496.387806646987,2424.3766199167853,2488.3865636769647,88087500
2017-01-10,2464.3828125,2480.3852982954545,2452.380948153409,2472.3840553977275,52004500
2017-01-11,2448.380615234375,2492.387456357869,2448.380615234375,2488.386834437551,43772500
2017-01-12,2452.38134765625,2472.3844581591557,2444.3801034550875,2448.380725555669,30781000
2017-01-13,2444.3798828125,2492.387343686068,2432.3780175941083,2432.3780175941083,69512500
2017-01-16,2428.377685546875,2440.3795521970246,2400.37333002986,2432.3783077635917,62039500
2017-01-17,2428.377685546875,2440.3795521970246,2424.3770633301588,2428.377685546875,22368500
2017-01-18,2448.380615234375,2448.380615234375,2424.3768837124694,2444.3799933140576,93410500
2017-01-19,2460.382080078125,2464.3827013465448,2440.3789737360266,2456.3814588097052,34360500
